Hour,Spaces_Left,Free Spaces  %,Occupancy,Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
6,195,83,17,1,0,0,0,0
7,170,72,28,1,0,0,0,0
8,15,6,94,1,0,0,0,0
9,14,6,94,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,16,7,93,1,0,0,0,0
16,40,17,83,1,0,0,0,0
17,110,47,53,1,0,0,0,0
18,140,60,40,1,0,0,0,0
19,180,77,23,1,0,0,0,0
20,207,88,12,1,0,0,0,0
21,213,91,9,1,0,0,0,0
22,213,91,9,1,0,0,0,0
23,213,91,9,1,0,0,0,0
0,213,91,9,1,0,0,0,0
1,213,91,9,1,0,0,0,0
2,213,91,9,1,0,0,0,0
3,213,91,9,1,0,0,0,0
4,213,91,9,1,0,0,0,0
5,213,91,9,1,0,0,0,0
6,195,83,17,1,0,0,0,0
7,170,72,28,1,0,0,0,0
8,15,6,94,1,0,0,0,0
9,14,6,94,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,16,7,93,1,0,0,0,0
15,40,17,83,1,0,0,0,0
16,110,47,53,1,0,0,0,0
17,140,60,40,1,0,0,0,0
18,180,77,23,1,0,0,0,0
19,207,88,12,1,0,0,0,0
20,213,91,9,1,0,0,0,0
21,213,91,9,1,0,0,0,0
22,213,91,9,1,0,0,0,0
23,213,91,9,1,0,0,0,0
0,213,91,9,1,0,0,0,0
1,213,91,9,1,0,0,0,0
2,213,91,9,1,0,0,0,0
3,213,91,9,1,0,0,0,0
4,213,91,9,1,0,0,0,0
5,213,91,9,1,0,0,0,0
6,208,89,11,1,0,0,0,0
7,196,83,17,1,0,0,0,0
8,60,26,74,1,0,0,0,0
9,20,9,91,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,6,3,97,1,0,0,0,0
12,6,3,97,1,0,0,0,0
13,4,2,98,1,0,0,0,0
14,2,1,99,1,0,0,0,0
15,6,3,97,1,0,0,0,0
16,8,3,97,1,0,0,0,0
17,20,9,91,1,0,0,0,0
18,108,46,54,1,0,0,0,0
19,140,60,40,1,0,0,0,0
20,214,91,9,1,0,0,0,0
21,214,91,9,1,0,0,0,0
22,214,91,9,1,0,0,0,0
23,214,91,9,1,0,0,0,0
0,214,91,9,0,1,0,0,0
1,214,91,9,0,1,0,0,0
2,214,91,9,0,1,0,0,0
3,214,91,9,0,1,0,0,0
4,214,91,9,0,1,0,0,0
5,214,91,9,0,1,0,0,0
6,186,79,21,0,1,0,0,0
7,80,34,66,0,1,0,0,0
8,28,12,88,0,1,0,0,0
9,10,4,96,0,1,0,0,0
10,8,3,97,0,1,0,0,0
11,8,3,97,0,1,0,0,0
12,6,3,97,0,1,0,0,0
13,4,2,98,0,1,0,0,0
14,5,2,98,0,1,0,0,0
15,12,5,95,0,1,0,0,0
16,40,17,83,0,1,0,0,0
17,90,38,62,0,1,0,0,0
18,170,72,28,0,1,0,0,0
19,190,81,19,0,1,0,0,0
20,225,96,4,0,1,0,0,0
21,225,96,4,0,1,0,0,0
22,225,96,4,0,1,0,0,0
23,225,96,4,0,1,0,0,0
0,225,96,4,0,1,0,0,0
1,225,96,4,0,1,0,0,0
2,225,96,4,0,1,0,0,0
3,225,96,4,0,1,0,0,0
4,225,96,4,0,1,0,0,0
5,225,96,4,0,1,0,0,0
6,200,85,15,0,1,0,0,0
7,190,81,19,0,1,0,0,0
8,160,68,32,0,1,0,0,0
9,160,68,32,0,1,0,0,0
10,160,68,32,0,1,0,0,0
11,160,68,32,0,1,0,0,0
12,160,68,32,0,1,0,0,0
13,160,68,32,0,1,0,0,0
14,160,68,32,0,1,0,0,0
15,160,68,32,0,1,0,0,0
16,180,77,23,0,1,0,0,0
17,190,81,19,0,1,0,0,0
18,230,98,2,0,1,0,0,0
19,232,99,1,0,1,0,0,0
20,232,99,1,0,1,0,0,0
21,232,99,1,0,1,0,0,0
22,232,99,1,0,1,0,0,0
23,232,99,1,0,1,0,0,0
0,232,99,1,1,0,0,0,0
1,232,99,1,1,0,0,0,0
2,232,99,1,1,0,0,0,0
3,232,99,1,1,0,0,0,0
4,232,99,1,1,0,0,0,0
5,232,99,1,1,0,0,0,0
6,204,87,13,1,0,0,0,0
7,195,83,17,1,0,0,0,0
8,45,19,81,1,0,0,0,0
9,20,9,91,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,5,2,98,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,0,0,100,1,0,0,0,0
16,4,2,98,1,0,0,0,0
17,30,13,87,1,0,0,0,0
18,110,47,53,1,0,0,0,0
19,198,84,16,1,0,0,0,0
20,210,89,11,1,0,0,0,0
21,217,92,8,1,0,0,0,0
22,217,92,8,1,0,0,0,0
23,217,92,8,1,0,0,0,0
0,217,92,8,1,0,0,0,0
1,217,92,8,1,0,0,0,0
2,217,92,8,1,0,0,0,0
3,217,92,8,1,0,0,0,0
4,217,92,8,1,0,0,0,0
5,217,92,8,1,0,0,0,0
6,200,85,15,1,0,0,0,0
7,58,25,75,1,0,0,0,0
8,30,13,87,1,0,0,0,0
9,10,4,96,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,5,2,98,1,0,0,0,0
