Hour,Occupancy(%),Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
9,91,1,0,0,0,0
10,100,1,0,0,0,0
11,97,1,0,0,0,0
12,97,1,0,0,0,0
13,98,1,0,0,0,0
14,99,1,0,0,0,0
15,97,1,0,0,0,0
16,97,1,0,0,0,0
17,91,1,0,0,0,0
18,54,1,0,0,0,0
19,40,1,0,0,0,0
20,9,1,0,0,0,0
21,9,1,0,0,0,0
22,9,1,0,0,0,0
23,9,1,0,0,0,0
0,9,0,1,0,0,0
1,9,0,1,0,0,0
2,9,0,1,0,0,0
3,9,0,1,0,0,0
4,9,0,1,0,0,0
5,9,0,1,0,0,0
6,21,0,1,0,0,0
7,66,0,1,0,0,0
8,88,0,1,0,0,0
9,96,0,1,0,0,0
10,97,0,1,0,0,0
11,97,0,1,0,0,0
12,97,0,1,0,0,0
13,98,0,1,0,0,0
14,98,0,1,0,0,0
15,95,0,1,0,0,0
16,83,0,1,0,0,0
17,62,0,1,0,0,0
18,28,0,1,0,0,0
19,19,0,1,0,0,0
20,4,0,1,0,0,0
21,4,0,1,0,0,0
22,4,0,1,0,0,0
23,4,0,1,0,0,0
0,4,0,1,0,0,0
1,4,0,1,0,0,0
2,4,0,1,0,0,0
3,4,0,1,0,0,0
4,4,0,1,0,0,0
5,4,0,1,0,0,0
6,15,0,1,0,0,0
7,19,0,1,0,0,0
8,32,0,1,0,0,0
9,32,0,1,0,0,0
10,32,0,1,0,0,0
11,32,0,1,0,0,0
12,32,0,1,0,0,0
13,32,0,1,0,0,0
14,32,0,1,0,0,0
15,32,0,1,0,0,0
16,23,0,1,0,0,0
17,19,0,1,0,0,0
18,2,0,1,0,0,0
19,1,0,1,0,0,0
20,1,0,1,0,0,0
21,1,0,1,0,0,0
22,1,0,1,0,0,0
23,1,0,1,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,0,0
2,1,1,0,0,0,0
3,1,1,0,0,0,0
4,1,1,0,0,0,0
5,1,1,0,0,0,0
6,13,1,0,0,0,0
7,17,1,0,0,0,0
8,81,1,0,0,0,0
9,91,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,98,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,98,1,0,0,0,0
17,87,1,0,0,0,0
18,53,1,0,0,0,0
19,16,1,0,0,0,0
20,11,1,0,0,0,0
21,8,1,0,0,0,0
22,8,1,0,0,0,0
23,8,1,0,0,0,0
0,8,1,0,0,0,0
1,8,1,0,0,0,0
2,8,1,0,0,0,0
3,8,1,0,0,0,0
4,8,1,0,0,0,0
5,8,1,0,0,0,0
6,15,1,0,0,0,0
7,75,1,0,0,0,0
8,87,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,98,1,0,0,0,0
15,97,1,0,0,0,0
16,96,1,0,0,0,0
17,45,1,0,0,0,0
18,15,1,0,0,0,0
19,11,1,0,0,0,0
20,11,1,0,0,0,0
21,11,1,0,0,0,0
22,11,1,0,0,0,0
23,11,1,0,0,0,0
0,11,1,0,0,0,0
1,11,1,0,0,0,0
2,11,1,0,0,0,0
3,11,1,0,0,0,0
4,11,1,0,0,0,0
5,11,1,0,0,0,0
6,32,1,0,0,0,0
7,66,1,0,0,0,0
8,87,1,0,0,0,0
9,94,1,0,0,0,0
10,96,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,96,1,0,0,0,0
16,87,1,0,0,0,0
17,66,1,0,0,0,0
18,13,1,0,0,0,0
19,6,1,0,0,0,0
20,5,1,0,0,0,0
21,5,1,0,0,0,0
22,5,1,0,0,0,0
23,5,1,0,0,0,0
0,5,1,0,0,0,0
1,5,1,0,0,0,0
2,5,1,0,0,0,0
3,5,1,0,0,0,0
4,5,1,0,0,0,0
5,5,1,0,0,0,0
6,5,1,0,0,0,0
7,19,1,0,0,0,0
8,49,1,0,0,0,0
9,87,1,0,0,0,0
10,92,1,0,0,0,0
11,98,1,0,0,0,0
12,99,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,98,1,0,0,0,0
16,94,1,0,0,0,0
17,66,1,0,0,0,0
18,52,1,0,0,0,0
19,12,1,0,0,0,0
20,7,1,0,0,0,0
21,7,1,0,0,0,0
22,7,1,0,0,0,0
23,7,1,0,0,0,0
0,7,1,0,0,0,0
1,7,1,0,0,0,0
2,7,1,0,0,0,0
3,7,1,0,0,0,0
4,7,1,0,0,0,0
5,7,1,0,0,0,0
6,28,1,0,0,0,0
7,49,1,0,0,0,0
8,86,1,0,0,0,0
9,91,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,98,1,0,0,0,0
16,95,1,0,0,0,0
17,66,1,0,0,0,0
18,11,1,0,0,0,0
19,10,1,0,0,0,0
20,4,1,0,0,0,0
21,4,1,0,0,0,0
22,4,1,0,0,0,0
23,4,1,0,0,0,0
0,4,0,1,0,0,0
1,4,0,1,0,0,0
2,4,0,1,0,0,0
3,4,0,1,0,0,0
4,4,0,1,0,0,0
5,4,0,1,0,0,0
6,16,0,1,0,0,0
7,28,0,1,0,0,0
8,53,0,1,0,0,0
9,53,0,1,0,0,0
10,66,0,1,0,0,0
11,66,0,1,0,0,0
12,66,0,1,0,0,0
13,66,0,1,0,0,0
14,64,0,1,0,0,0
15,62,0,1,0,0,0
16,61,0,1,0,0,0
17,23,0,1,0,0,0
18,11,0,1,0,0,0
19,4,0,1,0,0,0
20,4,0,1,0,0,0
21,4,0,1,0,0,0
22,4,0,1,0,0,0
23,4,0,1,0,0,0
0,4,0,1,0,0,0
1,4,0,1,0,0,0
2,4,0,1,0,0,0
3,4,0,1,0,0,0
4,4,0,1,0,0,0
5,4,0,1,0,0,0
6,7,0,1,0,0,0
7,19,0,1,0,0,0
8,23,0,1,0,0,0
9,28,0,1,0,0,0
10,28,0,1,0,0,0
11,28,0,1,0,0,0
12,28,0,1,0,0,0
13,28,0,1,0,0,0
14,28,0,1,0,0,0
15,28,0,1,0,0,0
16,19,0,1,0,0,0
17,11,0,1,0,0,0
18,2,0,1,0,0,0
19,2,0,1,0,0,0
20,2,0,1,0,0,0
21,2,0,1,0,0,0
22,2,0,1,0,0,0
23,2,0,1,0,0,0
0,2,1,0,0,0,0
1,2,1,0,0,0,0
2,2,1,0,0,0,0
3,2,1,0,0,0,0
4,2,1,0,0,0,0
5,2,1,0,0,0,0
6,23,1,0,0,0,0
7,32,1,0,0,0,0
8,83,1,0,0,0,0
9,91,1,0,0,0,0
10,97,1,0,0,0,0
11,99,1,0,0,0,0
12,99,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,97,1,0,0,0,0
17,62,1,0,0,0,0
18,19,1,0,0,0,0
19,13,1,0,0,0,0
20,4,1,0,0,0,0
21,4,1,0,0,0,0
22,4,1,0,0,0,0
23,4,1,0,0,0,0
0,4,1,0,0,0,0
1,4,1,0,0,0,0
2,4,1,0,0,0,0
3,4,1,0,0,0,0
4,4,1,0,0,0,0
5,4,1,0,0,0,0
6,4,1,0,0,0,0
7,19,1,0,0,0,0
8,23,1,0,0,0,0
9,83,1,0,0,0,0
10,95,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,98,1,0,0,0,0
16,96,1,0,0,0,0
17,66,1,0,0,0,0
18,11,1,0,0,0,0
19,7,1,0,0,0,0
20,4,1,0,0,0,0
21,4,1,0,0,0,0
22,4,1,0,0,0,0
23,4,1,0,0,0,0
0,4,1,0,0,0,0
1,4,1,0,0,0,0
2,4,1,0,0,0,0
3,4,1,0,0,0,0
4,4,1,0,0,0,0
5,4,1,0,0,0,0
6,32,1,0,0,0,0
7,45,1,0,0,0,0
8,92,1,0,0,0,0
9,100,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,98,1,0,0,0,0
16,91,1,0,0,0,0
17,64,1,0,0,0,0
18,8,1,0,0,0,0
19,2,1,0,0,0,0
20,2,1,0,0,0,0
21,2,1,0,0,0,0
22,2,1,0,0,0,0
23,2,1,0,0,0,0
0,2,1,0,0,0,0
1,2,1,0,0,0,0
2,2,1,0,0,0,0
3,2,1,0,0,0,0
4,2,1,0,0,0,0
5,2,1,0,0,0,0
6,28,1,0,0,0,0
7,36,1,0,0,0,0
8,91,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,97,1,0,0,0,0
16,87,1,0,0,0,0
17,70,1,0,0,0,0
18,49,1,0,0,0,0
19,19,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,6,1,0,0,0,0
6,15,1,0,0,0,0
7,19,1,0,0,0,0
8,87,1,0,0,0,0
9,94,1,0,0,0,0
10,96,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,99,1,0,0,0,0
14,98,1,0,0,0,0
15,97,1,0,0,0,0
16,83,1,0,0,0,0
17,45,1,0,0,0,0
18,11,1,0,0,0,0
19,6,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,0,1,0,0,0
1,6,0,1,0,0,0
2,6,0,1,0,0,0
3,6,0,1,0,0,0
4,6,0,1,0,0,0
5,6,0,1,0,0,0
6,21,0,1,0,0,0
7,66,0,1,0,0,0
8,88,0,1,0,0,0
9,96,0,1,0,0,0
10,97,0,1,0,0,0
11,97,0,1,0,0,0
12,97,0,1,0,0,0
13,98,0,1,0,0,0
14,98,0,1,0,0,0
15,95,0,1,0,0,0
16,83,0,1,0,0,0
17,62,0,1,0,0,0
18,28,0,1,0,0,0
19,19,0,1,0,0,0
20,4,0,1,0,0,0
21,4,0,1,0,0,0
22,4,0,1,0,0,0
23,4,0,1,0,0,0
0,4,0,1,0,0,0
1,4,0,1,0,0,0
2,4,0,1,0,0,0
3,4,0,1,0,0,0
4,4,0,1,0,0,0
5,4,0,1,0,0,0
6,15,0,1,0,0,0
7,19,0,1,0,0,0
8,32,0,1,0,0,0
9,32,0,1,0,0,0
10,32,0,1,0,0,0
11,32,0,1,0,0,0
12,32,0,1,0,0,0
13,32,0,1,0,0,0
14,32,0,1,0,0,0
15,32,0,1,0,0,0
16,23,0,1,0,0,0
17,19,0,1,0,0,0
18,2,0,1,0,0,0
19,1,0,1,0,0,0
20,1,0,1,0,0,0
21,1,0,1,0,0,0
22,1,0,1,0,0,0
23,1,0,1,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,0,0
2,1,1,0,0,0,0
3,1,1,0,0,0,0
4,1,1,0,0,0,0
5,1,1,0,0,0,0
6,13,1,0,0,0,0
7,17,1,0,0,0,0
8,81,1,0,0,0,0
9,91,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,98,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,98,1,0,0,0,0
17,87,1,0,0,0,0
18,53,1,0,0,0,0
19,16,1,0,0,0,0
20,11,1,0,0,0,0
21,7,1,0,0,0,0
22,7,1,0,0,0,0
23,7,1,0,0,0,0
0,7,1,0,0,0,0
1,7,1,0,0,0,0
2,7,1,0,0,0,0
3,7,1,0,0,0,0
4,7,1,0,0,0,0
5,7,1,0,0,0,0
6,14,1,0,0,0,0
7,19,1,0,0,0,0
8,91,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,98,1,0,0,0,0
16,96,1,0,0,0,0
17,91,1,0,0,0,0
18,74,1,0,0,0,0
19,11,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,6,1,0,0,0,0
6,11,1,0,0,0,0
7,19,1,0,0,0,0
8,91,1,0,0,0,0
9,92,1,0,0,0,0
10,96,1,0,0,0,0
11,99,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,99,1,0,0,0,0
16,99,1,0,0,0,0
17,87,1,0,0,0,0
18,74,1,0,0,0,0
19,8,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,6,1,0,0,0,0
6,11,1,0,0,0,0
7,17,1,0,0,0,0
8,92,1,0,0,0,0
9,97,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,97,1,0,0,0,0
15,96,1,0,0,0,0
16,95,1,0,0,0,0
17,70,1,0,0,0,0
18,60,1,0,0,0,0
19,45,1,0,0,0,0
20,11,1,0,0,0,0
